communityname,state,population,householdsize,racepctblack,racepctwhite,racepctasian,racepcthisp,numburban,pcturban,medincome,pctwwage,pctwpubasst,pctwretire,medfaminc,percapinc,whitepercap,blackpercap,indianpercap,asianpercap,otherpercap,hisppercap,numunderpov,pctpopunderpov,pctless9thgrade,pctnothsgrad,pctbsormore,pctunemployed,pctemploy,pctemplmanu,pctemplprofserv,pctoccupmanu,pctoccupmgmtprof,malepctdivorce,malepctnevmarr,femalepctdiv,totalpctdiv,persperfam,pctfam2par,pctkids2par,pctyoungkids2par,pctimmigrecent,pctspeakenglonly,pctnotspeakenglwell,pctlarghousefam,pctlarghouseoccup,pctpersownoccup,pctpersdensehous,pcthousless3br,mednumbr,housvacant,pcthousoccup,pcthousownocc,pctvacantboarded,pctvacmore6mos,medyrhousbuilt,pcthousnophone,pctwofullplumb,ownocclowquart,ownoccmedval,ownocchiquart,ownoccqrange,rentlowq,rentmedian,renthighq,rentqrange,medrent,medrentpcthousinc,medowncostpctinc,medowncostpctincnomtg,numinshelters,numstreet,pctforeignborn,pctbornsamestate,pctsamehouse85,pctsamecity85,pctsamestate85,policreqperoffic,landarea,popdens,pctusepubtrans,lemaspctofficdrugun,murders,murdperpop,rapes,rapesperpop,robberies,robbbperpop,assaults,assaultperpop,burglaries,burglperpop,larcenies,larcperpop,autotheft,autotheftperpop,arsons,violentcrimesperpop,city,mayor,statename,party affiliation
VeroBeachcity,FL,17350,2.1,3.29,95.65,0.56,2.51,17350,100.0,26877,56.75,3.69,23.7,35268,20310,20987,5381,8972,11473,17643.0,16504,1686,9.85,5.71,19.48,23.51,7.16,45.58,7.43,22.9,7.72,25.96,12.04,23.94,14.93,13.57,2.59,65.67,62.96,77.36,12.87,92.4,0.6,1.91,1.16,62.34,2.24,65.76,2,1795,82.16,62.11,0.39,22.95,1971,6.3,0.57,65400,104300,183500,118100,334,411,493,159,488,28.6,22.3,11.9,0,2,6.27,21.25,46.67,70.33,78.52,,11.5,1512.9,0.0,0.0,1,5.43,15.0,81.46,25.0,135.77,80.0,434.45,297.0,1612.9,962.0,5224.29,107.0,581.08,2.0,657.11,Vero Beach,,Florida,
WestPatersonborough,NJ,10982,2.58,1.42,94.91,2.34,4.23,10982,100.0,44933,84.33,3.56,16.67,51322,21036,20180,97458,0,13041,14405.0,15457,421,3.86,12.56,25.64,21.07,4.19,68.52,22.72,19.83,10.77,30.85,7.68,31.18,9.85,8.82,3.04,81.97,80.01,94.24,8.88,75.05,3.94,3.72,2.7,65.52,1.74,46.37,3,191,95.71,59.46,0.0,28.8,1962,0.16,0.25,161700,193600,246800,85100,600,638,738,138,698,22.6,24.2,14.5,0,0,15.38,67.75,62.05,80.37,93.87,,3.1,3578.6,3.19,0.0,0,0.0,2.0,17.5,5.0,43.74,20.0,174.98,76.0,664.92,294.0,2572.18,92.0,804.9,1.0,236.22,West Patersonborough,,New Jersey,
Sherwoodcity,AR,18893,2.69,5.25,93.64,0.47,1.09,18893,100.0,36698,88.53,2.53,16.71,39659,15325,15620,11853,8805,13568,4104.0,8764,801,4.25,2.56,12.78,23.47,3.55,72.16,12.59,23.61,10.93,28.07,8.49,21.25,12.69,10.67,3.05,82.64,80.91,89.43,5.32,97.16,0.45,2.2,1.77,75.63,1.31,28.3,3,357,95.16,73.13,2.52,33.89,1976,2.09,0.09,55900,70100,90400,34500,275,339,414,139,463,21.7,18.6,11.5,6,0,1.39,61.69,50.98,79.25,86.66,,12.1,1558.8,0.53,0.0,1,4.83,3.0,14.49,16.0,77.25,36.0,173.82,119.0,574.57,653.0,3152.91,93.0,449.04,1.0,270.39,Sherwood,,Arkansas,
Shoreviewcity,MN,24587,2.73,0.74,96.4,2.27,0.93,24587,100.0,48828,91.06,1.43,11.07,53840,20714,20606,18678,64751,20252,10485.0,15482,679,2.77,1.49,4.99,42.14,2.45,78.95,22.3,26.03,7.72,40.47,6.75,25.74,10.28,8.57,3.17,86.44,86.68,95.81,18.65,95.53,0.58,2.94,2.26,89.55,1.02,33.49,3,289,96.89,85.93,0.0,38.41,1976,0.27,0.15,86200,109700,140200,54000,458,497,582,124,526,22.4,21.9,11.6,0,0,2.7,71.63,49.88,76.36,91.29,,11.6,2120.4,1.51,0.0,2,7.35,,,1.0,3.68,1.0,3.68,61.0,224.22,226.0,830.7,19.0,69.84,3.0,,Shoreview,,Minnesota,
Louisvillecity,KY,269063,2.38,29.65,69.21,0.73,0.65,269157,100.0,20141,69.24,11.47,17.21,25805,11527,13532,7022,7785,7265,6303.0,8701,59144,22.61,12.85,32.81,17.23,8.24,54.43,16.32,27.55,16.52,24.26,14.08,35.37,17.07,15.72,3.02,53.89,47.79,61.3,27.25,96.67,0.54,5.02,3.03,58.53,3.3,61.41,2,10953,91.17,54.9,15.07,47.35,1947,7.93,0.58,30500,44300,66600,36100,164,244,314,150,308,26.4,17.8,12.9,808,33,1.5,79.31,56.29,89.65,92.97,163.9,64.3,4181.4,8.61,0.5,37,13.57,135.0,49.52,1393.0,510.93,1159.0,425.11,4204.0,1541.97,8076.0,2962.17,2325.0,852.78,257.0,999.13,Louisville,Craig Greenberg,Kentucky,Democrat
Needhamtown,MA,27557,2.71,0.66,96.98,2.2,0.96,27557,100.0,60357,77.61,1.82,17.92,69515,27935,28135,23621,8328,23645,5456.0,12809,896,3.29,2.08,5.58,53.74,4.35,64.16,13.61,35.02,4.51,50.0,4.1,28.01,7.14,5.74,3.14,87.25,86.71,92.91,10.52,91.71,0.81,3.9,2.94,84.33,0.43,25.73,3,245,97.65,79.69,0.0,22.45,1953,0.15,0.26,214900,256500,318200,103300,492,798,1001,509,893,24.7,20.3,13.4,0,0,7.59,65.0,67.81,78.96,90.62,,13.1,2108.6,10.51,0.0,0,0.0,3.0,10.57,3.0,10.57,35.0,123.3,92.0,324.1,346.0,1218.91,26.0,91.59,4.0,144.44,Needham,,Massachusetts,
Jacksonvillecity,TX,12765,2.75,24.29,66.7,1.18,11.04,0,0.0,17552,69.77,10.28,11.28,22949,9367,11281,5374,7664,12360,4666.0,4743,3203,26.71,19.56,39.11,13.46,8.82,51.73,26.69,27.74,25.97,22.3,11.13,28.49,14.19,12.79,3.18,64.01,59.27,69.92,31.14,88.0,3.97,6.98,5.05,56.95,7.25,52.21,2,410,91.87,58.19,3.41,51.71,1966,16.55,1.41,27600,41500,63400,35800,144,228,293,149,297,24.5,22.1,14.0,0,0,7.02,78.49,47.04,78.98,92.57,,13.1,975.0,0.0,0.0,4,31.28,10.0,78.2,12.0,93.85,50.0,391.02,149.0,1165.25,403.0,3151.64,36.0,281.54,1.0,594.35,Jacksonville,Donna Deegan,Texas,Democrat
Limacity,OH,45549,2.79,24.04,74.53,0.5,1.5,45549,100.0,21061,70.94,13.1,19.46,25775,9535,10509,6303,12928,23645,5297.0,5506,9016,21.57,9.19,30.73,8.39,12.83,48.9,21.73,22.13,21.7,17.3,15.83,33.38,16.12,15.97,3.17,59.94,55.35,62.57,11.08,96.43,0.36,6.38,4.39,60.08,2.12,43.81,3,2355,87.38,59.06,12.74,54.65,1950,9.14,0.4,26800,38900,51800,25000,178,252,316,138,329,27.6,15.4,12.3,70,0,0.83,77.93,53.68,82.88,92.93,,13.1,3469.8,1.36,0.0,6,13.46,48.0,107.7,207.0,464.45,784.0,1759.07,1009.0,2263.91,2182.0,4895.78,205.0,459.96,57.0,2344.68,Lima,Sharetta Smith,Ohio,
Charlestoncity,SC,80414,2.61,41.58,57.23,0.85,0.81,80414,100.0,25153,77.17,8.36,16.15,32212,14093,18980,7522,11350,9166,5355.0,10616,16227,21.61,9.29,23.46,29.44,5.15,60.02,8.0,31.76,9.08,31.56,9.55,43.56,13.42,11.62,3.12,59.31,51.85,67.62,22.77,94.91,0.58,5.93,3.66,52.01,4.15,53.18,2,3569,89.6,48.14,8.94,59.71,1964,5.06,0.6,61800,86600,138400,76600,218,341,417,199,428,28.6,22.0,13.4,176,0,2.37,65.84,44.85,75.4,83.62,376.0,44.8,1796.2,5.85,2.4,12,15.58,35.0,45.43,340.0,441.31,602.0,781.38,1071.0,1390.13,4091.0,5310.02,510.0,661.97,2.0,1283.7,Charleston,William Cogswell,South Carolina,
Westporttown,CT,24410,2.63,1.07,96.97,1.63,2.24,24424,100.0,81957,82.81,1.95,14.73,95791,45640,46184,45011,24087,23289,15227.0,23254,762,3.15,2.02,6.95,60.51,3.17,66.91,13.33,29.49,2.22,54.52,6.97,26.41,10.73,8.95,2.96,86.02,84.73,96.56,19.8,89.29,0.82,2.83,2.19,85.01,0.41,19.54,4,565,94.26,82.82,0.71,45.13,1956,0.38,0.28,318300,422400,500001,181701,620,995,1001,381,1001,24.8,22.0,14.0,17,1,12.18,25.33,59.67,76.59,77.06,400.0,20.7,1177.6,17.48,3.08,0,0.0,0.0,0.0,23.0,92.82,7.0,28.25,173.0,698.17,559.0,2255.94,79.0,318.82,3.0,121.07,Westport,,Connecticut,
Portlandcity,ME,64358,2.28,1.12,96.59,1.66,0.8,64358,100.0,26576,74.98,9.55,14.03,34837,14914,15152,8820,6370,8054,4992.0,13999,8783,14.03,6.66,16.81,29.61,6.75,63.16,9.74,28.95,10.28,31.46,11.75,40.16,14.88,13.46,2.91,63.98,62.15,72.0,19.07,93.3,0.82,3.39,1.86,48.55,1.35,59.25,2,3058,90.23,42.13,2.94,46.86,1939,4.49,0.43,88900,112200,141500,52600,344,450,559,215,504,28.1,23.2,14.9,188,1,5.12,64.08,45.15,76.18,84.25,562.5,23.5,2743.7,3.82,4.86,2,3.24,61.0,98.7,92.0,148.86,261.0,422.31,1142.0,1847.81,2978.0,4818.54,272.0,440.11,113.0,673.11,Portland,Ted Wheeler,Maine,Democrat
Bucyruscity,OH,13496,2.49,0.55,98.71,0.36,0.52,0,0.0,22023,71.03,9.67,19.65,26726,11227,11262,7854,8548,6956,3350.0,6677,2064,15.52,10.99,30.67,10.33,9.53,53.28,38.61,17.87,26.64,17.69,11.77,24.07,14.87,13.45,3.02,71.48,70.61,80.79,0.0,97.44,0.51,3.6,2.51,66.02,1.77,42.44,3,314,94.53,64.14,3.18,44.59,1952,12.97,0.35,28900,40500,57900,29000,159,208,260,101,309,25.5,15.9,12.3,0,0,0.85,81.5,58.19,88.85,95.23,,6.4,2124.4,0.0,0.0,0,0.0,6.0,45.26,2.0,15.09,14.0,105.61,158.0,1191.91,458.0,3455.04,31.0,233.86,1.0,165.96,Bucyrus,,Ohio,
Owensborocity,KY,53549,2.47,6.43,93.0,0.32,0.39,53549,100.0,21952,72.92,7.99,16.58,27892,11492,11846,6525,6313,7534,0.0,5499,9804,18.9,12.91,28.16,15.31,7.85,57.2,18.25,24.08,17.59,22.54,11.59,26.38,15.38,13.67,2.99,68.91,66.28,77.08,25.48,98.25,0.25,3.3,2.24,63.79,2.37,46.94,3,1402,93.92,60.05,1.36,38.94,1964,9.2,0.13,34000,46100,63900,29900,167,230,288,121,280,25.4,15.8,12.0,34,0,0.48,81.07,51.72,86.0,92.21,,15.5,3454.8,0.19,0.0,4,7.39,30.0,55.45,53.0,97.95,62.0,114.59,610.0,1127.4,2131.0,3938.49,85.0,157.1,6.0,275.38,Owensboro,Tom Watson,Kentucky,
Broomfieldcity,CO,24638,2.83,0.67,94.31,2.14,5.61,24552,99.66,39067,90.08,2.6,11.44,43854,15766,16009,18653,21708,8391,10133.0,10608,1239,5.05,1.66,8.25,27.88,3.76,75.78,21.81,22.21,11.99,31.02,9.04,25.5,11.73,10.39,3.25,83.06,82.12,93.21,17.82,93.42,0.96,4.9,3.75,78.3,1.85,29.97,3,379,95.83,73.59,0.53,27.18,1975,2.1,0.19,75300,88100,103100,27800,318,390,529,211,451,24.1,23.0,12.3,0,0,3.53,43.1,47.29,66.6,85.59,,23.1,1065.7,2.96,0.0,0,0.0,1.0,3.56,5.0,17.79,67.0,238.35,169.0,601.21,763.0,2714.34,38.0,135.18,21.0,259.69,Broomfield,,Colorado,
Dovertown,NJ,15115,2.93,6.1,77.69,1.95,40.36,15115,100.0,38822,84.25,4.39,17.6,42354,15344,16268,13753,9695,11979,11527.0,10960,1137,7.64,15.09,32.23,14.06,7.19,68.73,30.02,15.03,24.33,16.82,8.91,37.65,12.66,10.81,3.34,72.64,66.42,80.04,19.2,54.12,15.25,10.58,7.67,55.7,8.95,49.41,3,202,96.23,53.99,4.95,36.14,1947,4.17,0.84,127800,155300,179500,51700,466,615,729,263,678,27.7,25.7,13.8,0,4,25.4,47.73,53.31,78.48,82.61,,2.8,5435.5,3.45,0.0,0,0.0,3.0,20.59,9.0,61.76,25.0,171.55,103.0,706.79,397.0,2724.22,75.0,514.65,4.0,253.89,Dover,Robin R. Christiansen,New Jersey,
Ashlandcity,OH,20079,2.63,1.57,97.15,1.0,0.63,0,0.0,24536,74.73,6.19,19.12,30345,12029,11798,10484,16528,38234,5629.0,8746,2248,12.13,7.17,23.68,18.11,6.47,57.7,35.4,26.85,25.04,24.87,9.08,28.56,12.52,10.96,3.02,74.77,72.27,84.54,31.52,96.05,0.56,3.48,2.33,67.29,1.17,45.3,3,388,95.16,64.26,0.52,37.89,1955,5.23,0.4,37100,50400,72700,35600,194,254,311,117,341,24.7,16.7,12.4,4,0,1.74,80.41,50.67,79.63,92.48,,9.8,2044.0,0.16,0.0,0,0.0,1.0,4.72,2.0,9.43,4.0,18.86,68.0,320.68,381.0,1796.75,30.0,141.48,2.0,33.01,Ashland,,Ohio,
FergusFallscity,MN,12362,2.43,0.11,98.58,0.59,0.46,0,0.0,22993,69.13,7.46,14.43,29963,11327,11453,1895,4308,6590,5294.0,7299,1728,14.86,15.26,24.12,18.84,4.36,57.11,8.97,36.1,12.36,27.71,7.67,29.98,10.2,9.06,2.98,74.25,75.77,77.49,11.67,95.07,0.64,3.33,2.07,70.59,0.94,50.49,2,305,94.34,61.36,0.0,35.08,1956,3.6,0.87,34200,45100,60400,26200,174,254,322,148,312,27.1,18.0,12.0,0,0,1.94,74.17,53.74,81.4,91.54,,10.1,1224.5,0.93,0.0,0,0.0,,,1.0,7.93,16.0,126.95,90.0,714.12,423.0,3356.34,12.0,95.22,2.0,,Fergus Falls,,Minnesota,
ForestGrovecity,OR,13559,2.74,0.54,90.34,2.79,9.67,13559,100.0,24162,75.28,5.64,16.64,31674,10759,11277,10712,6280,7191,4581.0,5005,2007,15.78,9.86,24.3,20.43,6.16,58.31,26.93,26.24,19.83,23.39,9.54,31.54,12.39,11.06,3.17,76.31,72.13,86.3,26.13,89.45,2.46,7.2,4.75,54.07,5.34,50.45,2,156,96.94,50.61,4.49,36.54,1970,5.2,0.49,54200,66000,80500,26300,258,329,394,136,370,27.2,18.7,12.3,0,0,6.35,44.95,41.26,71.62,82.76,,4.3,3171.0,2.1,0.0,2,12.66,3.0,18.99,8.0,50.65,7.0,44.32,117.0,740.69,478.0,3026.08,40.0,253.23,5.0,126.61,Forest Grove,,Oregon,
Durhamcity,NC,136611,2.44,45.71,51.71,1.96,1.18,136594,100.0,27256,81.99,7.3,13.08,35024,14498,18584,10060,12035,11834,9600.0,10489,19163,14.9,8.72,21.54,35.4,4.72,65.21,12.56,42.05,9.54,34.05,10.59,40.96,14.49,12.71,2.96,59.32,55.48,68.44,31.37,93.75,0.85,3.96,2.39,47.91,3.05,58.01,2,4606,92.4,44.16,4.02,34.0,1970,6.32,0.4,59500,80600,113300,53800,259,353,441,182,440,24.8,22.5,13.8,125,1,3.81,61.34,39.46,66.86,77.42,,71.8,1903.5,3.05,0.0,26,17.81,109.0,74.67,848.0,580.92,724.0,495.98,4851.0,3323.17,7471.0,5118.0,951.0,651.48,90.0,1169.38,Durham,Leonardo Williams,North Carolina,Democrat
Wiltontown,CT,15989,2.87,1.01,97.28,1.57,1.33,5382,33.65,87686,84.23,1.29,13.32,101156,41249,41544,19130,0,34575,85294.0,28641,475,3.02,2.29,5.34,62.17,3.83,65.37,16.81,24.8,2.64,51.44,4.52,23.84,7.32,5.99,3.15,92.4,91.78,97.6,11.34,91.96,0.52,4.05,3.29,89.92,0.36,17.87,4,256,95.6,86.31,0.78,36.72,1965,0.23,0.0,317600,408800,500001,182401,529,866,1001,472,976,26.0,22.0,13.4,0,0,8.05,28.44,58.7,76.03,78.02,,27.9,572.6,10.83,0.0,0,0.0,0.0,0.0,2.0,12.32,5.0,30.81,54.0,332.7,152.0,936.48,10.0,61.61,1.0,43.13,Wilton,,Connecticut,
Mantuatownship,NJ,10074,2.91,1.3,97.8,0.57,1.1,8669,86.05,42841,81.99,3.34,19.07,45410,17316,17334,17872,5868,16964,250.0,19740,322,3.2,5.78,22.53,17.99,3.2,65.4,18.63,23.14,12.91,27.69,6.69,26.34,8.12,7.41,3.24,86.34,82.18,93.21,2.69,97.19,0.42,5.68,4.65,90.89,1.36,25.95,3,156,95.69,90.24,2.56,29.49,1958,0.9,0.0,80000,97300,130200,50200,329,422,530,201,520,25.2,22.0,13.6,0,0,1.85,57.29,65.63,82.33,91.26,,16.5,611.6,2.01,0.0,1,9.47,2.0,18.94,2.0,18.94,13.0,123.08,87.0,823.71,321.0,3039.2,14.0,132.55,1.0,170.42,Mantua,,New Jersey,
MountPleasantcity,TX,12291,2.85,20.29,64.86,0.16,17.02,0,0.0,20743,69.15,8.61,12.36,25788,10161,12733,5224,9197,26963,5239.0,5011,2881,24.64,16.53,37.76,13.67,4.15,55.99,26.15,19.95,20.43,17.86,8.62,28.1,12.47,10.68,3.26,70.2,63.55,83.67,15.84,83.68,6.05,8.99,6.5,60.31,8.98,48.39,3,362,92.25,62.86,1.38,50.55,1965,13.32,0.73,29700,43300,64000,34300,183,260,327,144,343,25.9,20.5,15.6,0,0,11.81,72.77,46.39,74.35,92.4,,10.3,1191.5,0.0,0.0,3,22.85,3.0,22.85,8.0,60.94,33.0,251.37,164.0,1249.24,503.0,3831.51,39.0,297.07,4.0,358.01,Mount Pleasant,Will Haynie,Texas,
MorganHillcity,CA,23928,3.06,1.6,83.03,5.31,23.38,23928,100.0,53480,86.7,5.48,11.14,57965,19560,20748,14263,15028,20634,9549.0,10413,1056,4.51,6.06,16.58,28.06,3.7,70.24,25.15,20.0,10.16,32.57,8.4,29.16,12.03,10.21,3.35,80.97,76.24,88.76,12.85,79.84,3.44,7.49,5.99,70.94,6.8,34.11,3,349,95.72,71.5,2.01,22.35,1977,2.09,0.05,227600,297200,396000,168400,564,718,899,335,811,28.7,28.5,10.9,6,0,11.03,56.06,44.0,81.51,89.56,,10.8,2207.4,2.4,0.0,1,3.72,10.0,37.17,19.0,70.63,99.0,368.0,214.0,795.48,704.0,2616.91,86.0,319.68,19.0,479.52,Morgan Hill,,California,
AppleValleytown,CA,46079,2.96,3.86,86.76,2.47,12.62,45931,99.68,34050,77.55,9.8,19.92,36439,14643,15028,11771,12367,21074,8477.0,8431,4874,10.67,4.64,19.86,14.95,7.89,57.35,10.43,19.35,14.75,24.01,9.1,23.14,13.08,11.14,3.25,77.44,73.37,81.64,6.31,88.87,1.12,7.14,5.78,69.41,5.65,33.4,3,1084,93.5,69.05,1.75,20.48,1983,4.34,0.18,90900,118100,157300,66400,401,461,563,162,534,29.1,24.7,12.4,11,0,5.75,52.58,30.85,60.4,87.22,,69.6,661.8,0.32,0.0,7,13.4,16.0,30.62,66.0,126.3,263.0,503.3,916.0,1752.94,1457.0,2788.25,271.0,518.61,24.0,673.62,Apple Valley,Scott Nassif,California,
CasaGrandecity,AZ,19082,2.94,5.16,76.11,0.81,34.49,0,0.0,25926,78.1,10.09,12.48,28639,11388,12702,6402,4717,21943,6659.0,7341,3274,17.44,14.88,28.01,14.24,7.9,60.92,18.97,23.35,18.66,22.98,11.1,26.92,15.05,13.16,3.38,69.39,62.65,67.26,8.23,74.44,3.01,9.1,6.82,63.98,9.04,50.5,2,909,87.72,62.48,2.42,25.3,1975,10.95,0.18,47500,64400,83300,35800,254,329,395,141,402,27.1,20.6,14.0,43,38,4.77,44.56,42.47,73.93,80.08,,22.6,845.4,0.71,0.0,3,13.74,15.0,68.72,49.0,224.49,237.0,1085.81,589.0,2698.49,2197.0,10065.52,185.0,847.57,27.0,1392.77,Casa Grande,,Arizona,
Aberdeencity,SD,24927,2.49,0.16,95.98,0.5,0.35,0,0.0,22422,75.49,5.1,11.57,30328,11939,12042,1518,8710,16757,2520.0,5350,2872,12.2,14.15,22.7,22.63,3.57,65.03,10.18,31.21,11.66,27.01,7.09,30.75,9.22,8.26,3.01,76.04,76.25,87.03,18.32,93.1,0.6,3.12,1.99,64.72,1.32,52.31,2,691,93.54,56.64,1.16,36.9,1957,4.6,0.29,34000,47900,64900,30900,180,247,312,132,292,24.3,18.0,13.1,10,0,1.05,73.61,50.21,76.13,89.42,,8.7,2870.5,0.07,0.0,1,3.94,14.0,55.19,4.0,15.77,33.0,130.08,122.0,480.9,692.0,2727.74,28.0,110.37,10.0,204.97,Aberdeen,,South Dakota,
Farmingtontown,CT,20608,2.51,1.31,96.22,2.08,1.16,15745,76.4,52979,81.1,2.76,17.96,61754,28286,28331,24242,25000,28481,31547.0,16666,531,2.61,4.44,11.13,43.58,3.47,67.2,13.87,31.15,5.06,44.78,6.78,26.96,10.07,8.53,3.0,86.23,86.77,94.54,7.74,90.49,0.49,2.58,1.78,78.49,0.4,41.6,3,441,94.9,73.04,1.13,35.6,1971,0.55,0.0,164200,211900,289600,125400,599,739,969,370,833,24.9,22.1,12.0,7,0,7.46,57.34,49.62,80.42,85.53,,29.1,709.0,1.72,0.0,0,0.0,2.0,9.69,7.0,33.93,5.0,24.23,117.0,567.08,643.0,3116.52,80.0,387.75,0.0,67.86,Farmington,Theresa Rich,Connecticut,
Eveshamtownship,NJ,35309,2.81,2.84,93.55,3.18,1.35,31970,90.52,51676,91.04,1.17,10.78,56404,19986,20103,22337,25836,14416,12352.0,15799,787,2.24,3.04,9.91,37.19,2.47,75.42,14.55,24.96,5.9,37.67,7.14,27.69,10.44,8.85,3.26,86.22,85.71,96.92,16.45,91.96,0.93,4.16,3.16,82.22,0.83,29.64,3,706,94.68,76.36,0.85,20.54,1980,0.18,0.22,119300,145600,173500,54200,557,655,803,246,738,27.1,23.6,13.4,0,0,5.56,40.77,49.07,67.48,83.81,,30.6,1153.7,5.46,0.0,0,0.0,4.0,11.07,9.0,24.9,53.0,146.64,204.0,564.41,581.0,1607.46,49.0,135.57,5.0,182.6,Evesham,Jaclyn Veasy,New Jersey,
Ashwaubenonvillage,WI,16376,2.69,0.39,98.02,0.6,0.36,16376,100.0,35108,89.2,4.33,7.72,39959,14770,14890,14934,7108,6505,15200.0,13360,833,5.22,5.27,12.1,18.08,3.59,74.42,23.22,19.65,16.84,25.95,6.97,28.32,9.88,8.49,3.15,82.19,81.65,88.66,15.62,97.25,0.88,2.66,1.92,71.04,1.48,42.23,3,165,97.36,61.09,0.0,10.91,1974,1.17,0.19,60900,69300,84300,23400,293,354,428,135,400,21.8,19.9,11.8,0,0,0.78,80.32,49.59,81.7,92.54,,10.8,1513.4,0.55,0.0,0,0.0,2.0,11.49,5.0,28.72,20.0,114.88,68.0,390.58,760.0,4365.31,21.0,120.62,2.0,155.08,Ashwaubenonvillage,,Wisconsin,
SouthKingstowntown,RI,24631,3.32,1.47,93.38,2.98,1.24,0,0.0,36481,76.57,4.65,18.47,41895,14325,14874,8807,5120,7757,2739.0,7112,1341,6.95,4.61,14.46,38.97,5.25,59.1,10.94,35.32,7.15,33.15,5.8,45.37,7.5,6.7,3.11,80.86,78.85,97.44,28.33,92.39,0.58,3.96,2.8,73.43,1.76,40.26,3,2378,75.75,69.86,2.02,65.98,1966,1.0,2.49,123300,158700,209900,86600,350,486,632,282,564,27.9,23.3,12.8,11,0,5.98,55.72,45.93,63.66,77.48,,59.2,416.4,0.9,0.0,0,0.0,9.0,36.66,2.0,8.15,12.0,48.89,91.0,370.72,323.0,1315.84,22.0,89.62,0.0,93.7,South Kings,,Rhode Island,
Stamfordtown,CT,108056,2.58,17.78,76.28,2.6,9.77,108056,100.0,49787,82.57,5.43,14.57,57360,27092,30975,13309,14211,29924,10707.0,13109,6728,6.29,7.21,18.81,35.13,5.08,67.95,17.99,21.6,7.97,37.24,7.96,35.01,11.56,9.86,3.08,72.41,67.92,79.89,17.41,77.07,3.87,5.87,3.99,60.42,4.91,53.06,2,2334,94.73,57.87,1.37,27.98,1961,1.67,0.47,225600,295700,414000,188400,483,716,931,448,794,26.5,22.8,14.7,132,18,18.58,41.96,54.75,80.59,81.75,294.2,39.1,2765.1,11.33,4.35,8,7.46,22.0,20.52,270.0,251.87,237.0,221.08,1105.0,1030.79,3503.0,3267.75,727.0,678.18,31.0,500.94,Stamford,Caroline Simmons,Connecticut,
Masoncity,OH,11452,2.75,0.39,98.63,0.71,0.47,11460,100.0,39738,85.48,3.39,15.86,43523,15866,15943,0,847,10621,7300.0,11359,301,2.66,5.43,16.17,20.29,2.84,71.79,26.42,18.73,15.25,27.17,7.98,22.52,11.58,9.86,3.16,85.12,83.58,93.38,0.0,97.02,0.08,3.07,2.35,78.53,0.91,32.07,3,105,97.54,74.67,0.0,33.33,1974,2.23,0.0,65500,81600,98700,33200,319,378,439,120,455,23.4,20.2,11.3,0,0,1.21,70.58,51.5,71.58,92.61,,12.7,904.6,0.19,0.0,0,0.0,4.0,29.98,6.0,44.97,8.0,59.96,52.0,389.75,247.0,1851.3,4.0,29.98,2.0,134.91,Mason,,Ohio,
Kennewickcity,WA,42155,2.62,1.13,89.89,1.99,8.74,42155,100.0,28261,81.72,8.95,14.12,35024,12767,13340,11449,6812,9610,6392.0,6855,5814,13.93,5.99,17.5,19.77,7.0,64.11,11.71,27.83,11.91,28.49,11.21,26.39,15.31,13.34,3.17,70.96,70.52,75.97,22.37,89.97,2.04,5.83,4.06,57.48,4.49,48.91,3,1135,93.4,53.08,1.85,54.1,1972,4.16,0.34,47700,64800,83100,35400,225,279,346,121,345,23.1,16.4,11.2,0,0,4.73,46.49,41.95,70.79,84.64,,20.8,2022.0,3.29,0.0,2,4.09,32.0,65.45,24.0,49.09,128.0,261.8,460.0,940.85,2187.0,4473.12,129.0,263.85,5.0,380.43,Kennewick,Gretl Crawford,Washington,
MoundsViewcity,MN,12541,2.67,0.58,96.42,2.0,0.77,12528,100.0,37117,90.6,5.5,11.0,41107,15171,15392,14896,11058,7853,0.0,11028,746,5.98,2.88,12.18,18.05,4.93,76.44,28.04,20.82,17.3,23.83,9.5,30.85,12.53,11.03,3.06,74.31,75.22,82.82,7.44,94.62,0.52,2.73,2.02,76.98,2.04,48.46,3,183,96.25,71.71,0.0,13.11,1971,1.0,0.25,72500,86400,99900,27400,419,459,505,86,493,23.1,20.3,12.2,0,0,2.47,74.42,53.71,71.21,91.75,,4.3,2938.7,2.05,0.0,0,0.0,,,4.0,30.51,29.0,221.17,68.0,518.61,397.0,3027.76,35.0,266.93,4.0,,Mounds View,,Minnesota,
Haddonfieldborough,NJ,11628,2.59,1.38,97.49,0.88,0.86,11628,100.0,56585,77.79,1.71,21.57,66917,28763,29055,13638,26941,33474,1165.0,12159,321,2.8,2.15,8.86,55.62,1.78,62.53,9.98,40.78,2.95,54.8,4.81,26.45,8.41,6.74,3.03,85.65,84.64,98.74,10.7,95.2,0.33,3.26,2.4,87.95,0.18,22.4,3,161,96.54,83.39,0.62,43.48,1939,0.27,0.13,137200,186900,266500,129300,474,587,708,234,645,27.0,21.9,15.0,0,0,3.29,44.74,69.28,85.71,90.12,,2.9,3969.1,13.45,0.0,0,0.0,1.0,8.59,4.0,34.36,3.0,25.77,60.0,515.33,320.0,2748.43,10.0,85.89,2.0,68.71,Haddonfieldborough,,New Jersey,
